Participant #,Q_No,Fix or NoFix,AnswerKey,Answer,Aha,Solving_Time,Blur_Time,EnterAns_Time,FinishAns_Time,Index
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,021,Fix,false,,no,0.844,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,022,NoFix,false,,no,1.181,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,031,Fix,false,,no,0.888,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,032,NoFix,false,,no,0.852,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,041,Fix,false,,no,1.647,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,042,NoFix,false,,no,0.685,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,051,Fix,false,,no,0.735,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,052,NoFix,false,,no,0.864,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,062,Fix,false,,no,0.623,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,061,NoFix,false,,no,1.274,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,072,Fix,false,,no,0.816,,,,
2021-07-01T04:47:06 21a2df6-c6bc-87c6-657-dcbd78245fce,071,NoFix,false,,no,0.916,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,001,Fix,true,隊,no,9.532,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,002,NoFix,true,信,no,10.431,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,011,Fix,true,白,yes,6.538,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,012,NoFix,true,面,yes,25.265,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,022,Fix,false,,no,45,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,021,NoFix,true,退,no,7.232,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,031,Fix,false,,no,45,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,032,NoFix,false,期,no,8.022,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,042,Fix,false,,no,45,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,041,NoFix,true,告,yes,3.71,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,051,Fix,false,,no,45,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,052,NoFix,false,,no,45,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,061,Fix,false,,no,45,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,062,NoFix,true,策,no,12.055,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,072,Fix,false,目,no,13.387,,,,
2021-07-01T12:09:34 4e8e2e8-3bf3-c48-0af8-adc71c6f3a80,071,NoFix,false,,no,45,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,002,Fix,false,,no,1.595,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,001,NoFix,false,,no,45,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,011,Fix,false,,no,1.435,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,012,NoFix,false,,no,1.193,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,022,Fix,false,,no,10.104,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,021,NoFix,false,,no,2.248,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,032,Fix,false,,no,9.985,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,031,NoFix,false,,no,18.359,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,041,Fix,false,,no,1.366,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,042,NoFix,false,,no,0.789,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,051,Fix,false,,no,6.579,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,052,NoFix,false,,no,3.324,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,061,Fix,false,,no,10.529,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,062,NoFix,false,,no,2.576,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,072,Fix,false,,no,1.806,,,,
2021-07-01T12:39:53 3e51eb-5a3-6b23-0c2-2cb60e347bb,071,NoFix,false,,no,27.229,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,001,Fix,true,隊,no,10.259,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,002,NoFix,true,信,no,14.774,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,012,Fix,false,名,no,32.511,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,011,NoFix,true,白,no,16.447,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,021,Fix,true,退,no,12.148,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,022,NoFix,true,難,no,12.95,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,031,Fix,false,,no,45,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,032,NoFix,false,,no,45,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,042,Fix,false,一,no,17.12,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,041,NoFix,true,告,no,8.719,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,052,Fix,false,,no,45,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,051,NoFix,true,電,yes,10.595,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,061,Fix,false,白,no,25.784,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,062,NoFix,true,策,no,8.323,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,072,Fix,false,,no,45,,,,
2021-07-02T02:15:11 cf55b8a-4d3a-266d-dcee-2c3e7ea50,071,NoFix,false,差,no,16.146,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,001,Fix,false,,no,9.63,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,002,NoFix,false,,no,0.582,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,012,Fix,false,,no,0.607,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,011,NoFix,false,,no,1.447,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,022,Fix,false,,no,0.615,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,021,NoFix,false,,no,0.735,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,031,Fix,false,,no,0.526,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,032,NoFix,true,機,no,1.886,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,041,Fix,false,,no,0.614,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,042,NoFix,false,,no,0.591,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,052,Fix,false,入,no,14.71,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,051,NoFix,true,電,no,2.871,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,061,Fix,false,,no,0.727,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,062,NoFix,false,,no,2.47,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,072,Fix,false,,no,0.687,,,,
2021-07-10T07:46:34 e736b-2a6-88cd-ad3a-b0fb686b648e,071,NoFix,true,悪,no,1.775,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,001,Fix,false,w,no,9.454,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,002,NoFix,false,意,no,22.279,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,012,Fix,false,a,no,1.183,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,011,NoFix,false,ｇ,no,1.066,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,021,Fix,false,１,no,1.292,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,022,NoFix,false,１,no,2.051,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,031,Fix,false,k,no,1.725,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,032,NoFix,false,１,no,1.367,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,041,Fix,false,１,no,1.49,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,042,NoFix,true,定,yes,26.669,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,052,Fix,false,,no,45,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,051,NoFix,false,分,no,2.381,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,061,Fix,false,a,no,1.258,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,062,NoFix,true,策,no,2.494,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,072,Fix,false,１,no,1.071,,,,
2021-07-12T09:31:59 04e808a-6648-463-85dc-c08fef15dc3,071,NoFix,false,お,no,1.135,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,001,Fix,false,,no,0.719,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,002,NoFix,false,,no,0.807,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,011,Fix,false,,no,1.598,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,012,NoFix,false,,no,0.575,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,022,Fix,false,,no,0.582,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,021,NoFix,false,,no,1.351,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,032,Fix,false,,no,0.495,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,031,NoFix,false,,no,0.478,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,042,Fix,false,,no,0.543,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,041,NoFix,false,,no,0.551,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,052,Fix,false,,no,0.424,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,051,NoFix,false,,no,0.542,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,062,Fix,false,,no,0.567,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,061,NoFix,false,,no,0.455,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,071,Fix,false,,no,0.487,,,,
2021-07-12T13:39:46 2b31717-be31-024-c0e7-16c24710b1f4,072,NoFix,false,,no,0.455,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,001,Fix,false,,no,0.43,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,002,NoFix,false,,no,0.457,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,011,Fix,false,,no,0.479,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,012,NoFix,false,,no,0.484,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,022,Fix,false,,no,0.533,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,021,NoFix,false,,no,0.589,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,032,Fix,false,,no,0.483,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,031,NoFix,false,,no,0.505,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,042,Fix,false,,no,0.621,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,041,NoFix,false,,no,0.489,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,052,Fix,false,,no,0.459,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,051,NoFix,false,,no,0.478,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,061,Fix,false,,no,0.446,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,062,NoFix,false,,no,0.552,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,072,Fix,false,,no,0.454,,,,
2021-07-18T18:28:21 b54e481-d11-042-080-a63616428171,071,NoFix,false,,no,0.44,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,001,Fix,false,,no,0.585,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,002,NoFix,true,信,no,2.515,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,012,Fix,true,面,yes,2.107,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,011,NoFix,true,白,yes,3.531,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,022,Fix,false,,no,0.935,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,021,NoFix,false,用,no,1.703,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,031,Fix,false,,no,1.446,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,032,NoFix,false,,no,0.833,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,041,Fix,false,,no,0.646,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,042,NoFix,true,定,yes,1.745,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,051,Fix,false,,no,0.605,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,052,NoFix,false,,no,0.894,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,061,Fix,false,実,no,3.114,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,062,NoFix,false,,no,0.617,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,072,Fix,false,,no,0.98,,,,
2021-07-20T01:09:36 856e575-3cbc-d877-05f2-33033a724587,071,NoFix,false,,no,1.209,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,001,Fix,false,,no,1.165,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,002,NoFix,false,,no,1.348,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,011,Fix,false,,no,1.053,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,012,NoFix,false,,no,1.764,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,021,Fix,true,退,yes,6.185,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,022,NoFix,false,,no,0.551,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,031,Fix,false,,no,0.623,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,032,NoFix,false,,no,0.807,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,042,Fix,false,,no,0.694,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,041,NoFix,false,,no,1.143,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,051,Fix,false,,no,1.347,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,052,NoFix,false,,no,0.653,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,061,Fix,false,,no,1.372,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,062,NoFix,false,,no,1.762,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,071,Fix,false,,no,2.188,,,,
2021-07-20T01:31:42 7203643-1017-1a8-22d3-612e716e87fd,072,NoFix,false,,no,0.651,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,001,Fix,false,,no,0.553,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,002,NoFix,false,,no,2.331,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,011,Fix,false,,no,0.479,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,012,NoFix,false,,no,0.576,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,022,Fix,false,,no,0.434,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,021,NoFix,false,,no,0.441,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,032,Fix,false,,no,0.465,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,031,NoFix,false,,no,0.532,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,041,Fix,false,,no,0.435,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,042,NoFix,false,,no,0.546,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,051,Fix,false,,no,0.568,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,052,NoFix,false,,no,0.443,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,061,Fix,false,,no,0.439,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,062,NoFix,false,,no,0.524,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,071,Fix,false,,no,0.441,,,,
2021-07-20T04:22:19 ffe7cef-a52f-14c0-8e06-e26f0d6f1e1e,072,NoFix,false,,no,0.568,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,002,Fix,false,,no,0.47,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,001,NoFix,false,,no,0.509,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,011,Fix,false,,no,0.57,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,012,NoFix,false,,no,0.44,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,021,Fix,false,,no,0.44,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,022,NoFix,false,,no,0.671,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,031,Fix,false,,no,0.55,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,032,NoFix,false,,no,0.506,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,042,Fix,false,,no,0.538,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,041,NoFix,false,,no,0.53,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,052,Fix,false,,no,0.637,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,051,NoFix,false,,no,0.61,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,062,Fix,false,,no,1.004,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,061,NoFix,false,,no,0.626,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,071,Fix,false,,no,0.68,,,,
2021-07-22T09:40:05 ff135a4-132e-227-a81b-5cbebf34637,072,NoFix,false,,no,0.558,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,001,Fix,true,隊,yes,15.94,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,002,NoFix,true,信,yes,3.591,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,011,Fix,true,白,yes,8.717,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,012,NoFix,false,,no,45,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,022,Fix,true,難,yes,9.965,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,021,NoFix,true,退,yes,23.465,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,031,Fix,true,楽,yes,5.838,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,032,NoFix,false,,no,45,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,041,Fix,false,,no,45,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,042,NoFix,false,,no,45,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,052,Fix,false,,no,45,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,051,NoFix,false,,no,45,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,062,Fix,false,,no,45,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,061,NoFix,true,空,yes,23.546,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,072,Fix,false,,no,45,,,,
2021-07-22T13:29:28 a334fb0-dbe5-33b-c424-512683cc3524,071,NoFix,false,,no,45,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,002,Fix,false,,no,0.464,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,001,NoFix,false,,no,0.613,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,012,Fix,false,,no,0.476,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,011,NoFix,false,,no,0.57,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,022,Fix,false,,no,0.539,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,021,NoFix,false,,no,0.554,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,032,Fix,false,,no,0.545,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,031,NoFix,false,,no,0.891,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,041,Fix,false,,no,0.51,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,042,NoFix,false,,no,0.54,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,051,Fix,false,,no,0.546,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,052,NoFix,false,,no,0.485,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,062,Fix,false,,no,0.735,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,061,NoFix,false,,no,1.026,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,071,Fix,false,,no,0.748,,,,
2021-07-27T01:38:00 0346367-15ff-2e6-f88e-4eb82b1edeec,072,NoFix,false,,no,0.697,,,,
